population,group,fullID,band_number,fusion,total_mass,shell_mass,shell_diameter,dead,series,session,FPT1,FPT2,FPT3,Food_intake
shaded,shadedK,shadedK2,5B,no,3.45,0.87,23.2,0,1,2,14,46,79,0.3345
shaded,shadedK,shadedK3,5B,no,2.18,0.57,20,0,1,1,435,561,1200,0.0850000000000001
shaded,shadedK,shadedK3,5B,no,2.18,0.57,20,0,1,2,47,92,497,0.131
shaded,shadedK,shadedK4,5B,no,3.22,0.79,22.4,0,1,1,18,41,86,0.0695
shaded,shadedK,shadedK4,5B,no,3.22,0.79,22.4,0,1,2,14,42,73,0.2763
shaded,shadedK,shadedK5,5B,yes,2.7,0.86,22.6,0,1,1,21,87,118,0.0602999999999999
shaded,shadedK,shadedK5,5B,yes,2.7,0.86,22.6,0,1,2,42,137,212,0.2216
shaded,shadedK,shadedK6,5B,yes,3.34,0.78,22.2,0,1,1,22,52,104,0.1953
shaded,shadedK,shadedK6,5B,yes,3.34,0.78,22.2,0,1,2,14,51,101,0.1893
shaded,shadedK,shadedK7,5B,no,1.78,0.47,18.5,0,3,1,25,65,115,0.2004
shaded,shadedK,shadedK7,5B,no,1.78,0.47,18.5,0,3,2,27,60,108,0.2399
shaded,shadedK,shadedK8,5B,no,1.53,0.36,18.7,0,2,1,436,1200,1200,0.1276
shaded,shadedK,shadedK8,5B,no,1.53,0.36,18.7,0,2,2,14,93,156,0.0689000000000001
shaded,shadedK,shadedK9,5B,yes,2.75,0.8,25,0,3,1,25,81,138,0.4202
shaded,shadedK,shadedK9,5B,yes,2.75,0.8,25,0,3,2,25,68,125,0.407
shaded,shadedQ,shadedQ1,5B,no,3.82,0.94,23.2,0,2,1,34,256,547,0.1551
shaded,shadedQ,shadedQ1,5B,no,3.82,0.94,23.2,0,2,2,25,67,119,0.1969
shaded,shadedQ,shadedQ2,5B,no,2.76,0.61,22.7,0,2,1,27,53,95,0.2724
shaded,shadedQ,shadedQ2,5B,no,2.76,0.61,22.7,0,2,2,13,44,80,0.372
shaded,shadedQ,shadedQ3,5B,no,3.79,0.94,23.3,0,3,1,20,51,97,0.2571
shaded,shadedQ,shadedQ3,5B,no,3.79,0.94,23.3,0,3,2,17,54,102,0.2981
shaded,shadedQ,shadedQ4,5B,no,3.54,0.89,23.4,0,1,1,23,65,96,0.219
shaded,shadedQ,shadedQ4,5B,no,3.54,0.89,23.4,0,1,2,12,61,112,0.3193
shaded,shadedQ,shadedQ5,5B,yes,3.31,0.84,23.5,0,1,1,21,87,118,0.1994
shaded,shadedQ,shadedQ5,5B,yes,3.31,0.84,23.5,0,1,2,23,68,116,0.2363
shaded,shadedQ,shadedQ6,5B,no,3.08,0.63,22,0,2,1,531,1200,1200,0.0801999999999999
shaded,shadedQ,shadedQ6,5B,no,3.08,0.63,22,0,2,2,12,47,93,0.1985
shaded,shadedQ,shadedQ7,5B,yes,3.5,0.83,22.2,0,2,1,19,61,121,0.2097
shaded,shadedQ,shadedQ7,5B,yes,3.5,0.83,22.2,0,2,2,17,59,97,0.2327
shaded,shadedQ,shadedQ8,5B,yes,2.69,0.81,21.6,0,2,1,1200,1200,1200,0.2281
shaded,shadedQ,shadedQ8,5B,yes,2.69,0.81,21.6,0,2,2,16,56,112,0.159
shaded,shadedQ,shadedQ9,5B,no,3.6,0.77,23.5,0,1,1,399,595,1200,0.2537
shaded,shadedQ,shadedQ9,5B,no,3.6,0.77,23.5,0,1,2,35,83,147,0.2563
shaded,shadedX,shadedX1,5B,no,3.15,0.69,23.7,0,3,1,6,34,69,0.3266
shaded,shadedX,shadedX1,5B,no,3.15,0.69,23.7,0,3,2,14,40,78,0.4665
shaded,shadedX,shadedX2,5B,no,3.08,0.77,22.4,0,1,1,14,55,120,0.1763
shaded,shadedX,shadedX2,5B,no,3.08,0.77,22.4,0,1,2,16,103,157,0.2922
shaded,shadedX,shadedX3,5B,no,2.11,0.55,20.1,0,2,1,1200,1200,1200,0.1527
shaded,shadedX,shadedX3,5B,no,2.11,0.55,20.1,0,2,2,25,71,136,0.0934
shaded,shadedX,shadedX4,5B,no,2.96,0.66,22.5,0,2,1,125,270,369,0.0911000000000001
shaded,shadedX,shadedX4,5B,no,2.96,0.66,22.5,0,2,2,12,36,67,0.3852
shaded,shadedX,shadedX5,5B,no,1.89,0.5,18.7,0,3,1,21,63,231,0.1731
shaded,shadedX,shadedX5,5B,no,1.89,0.5,18.7,0,3,2,1200,1200,1200,0.2081
shaded,shadedX,shadedX6,5B,no,2.85,0.69,22,0,3,1,30,74,144,0.1392
shaded,shadedX,shadedX6,5B,no,2.85,0.69,22,0,3,2,14,59,163,0.1326
shaded,shadedX,shadedX7,5B,yes,2.75,0.87,22.3,0,3,1,106,154,210,0.1153
shaded,shadedX,shadedX7,5B,yes,2.75,0.87,22.3,0,3,2,1200,1200,1200,0.1494
shaded,shadedX,shadedX8,5B,yes,3.3,0.79,22.7,0,3,1,26,56,101,0.1487
shaded,shadedX,shadedX8,5B,yes,3.3,0.79,22.7,0,3,2,19,60,113,0.0872000000000001
shaded,shadedX,shadedX9,5B,no,2.67,0.58,22.1,0,3,1,29,118,334,0.1101
shaded,shadedX,shadedX9,5B,no,2.67,0.58,22.1,0,3,2,1200,1200,1200,0.1489
sun_exposed,sun_exposedA,sun_exposedA1,0B,no,3.82,0.9,22.8,0,1,1,38,121,201,0.1445
sun_exposed,sun_exposedA,sun_exposedA1,0B,no,3.82,0.9,22.8,0,1,2,10,44,80,0.2483
sun_exposed,sun_exposedA,sun_exposedA2,0B,no,2.75,0.69,22.4,0,2,1,37,93,350,0.1478
sun_exposed,sun_exposedA,sun_exposedA2,0B,no,2.75,0.69,22.4,0,2,2,58,199,301,0.2488
sun_exposed,sun_exposedA,sun_exposedA3,0B,no,3.6,0.99,22.2,0,2,1,21,143,203,0.092
sun_exposed,sun_exposedA,sun_exposedA3,0B,no,3.6,0.99,22.2,0,2,2,23,121,233,0.2043
