population,group,fullID,band_number,fusion,total_mass,shell_mass,shell_diameter,dead,series,Nematode_white_encaps,Nematode_dark_encaps,Acari_encaps,Nematode_0_1_free,Nematode_1_3_free,Nematode_3_5_free,Nematode_5_plus_free,Nematode_1_3_lung,Nematode_3_5_lung,Nematode_5_plus_lung,Acari_kidney,Acari_digestive,Trematode_kidney
shaded,shadedQ,shadedQ7,5B,yes,3.5,0.83,22.2,0,2,8,41,0,0,0,0,0,0,0,0,0,0,4
shaded,shadedQ,shadedQ8,5B,yes,2.69,0.81,21.6,0,2,0,33,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedQ,shadedQ9,5B,no,3.6,0.77,23.5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedX,shadedX1,5B,no,3.15,0.69,23.7,0,3,1,8,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedX,shadedX2,5B,no,3.08,0.77,22.4,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedX,shadedX3,5B,no,2.11,0.55,20.1,0,2,1,13,1,0,0,0,0,0,0,0,0,0,0
shaded,shadedX,shadedX4,5B,no,2.96,0.66,22.5,0,2,4,8,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedX,shadedX5,5B,no,1.89,0.5,18.7,0,3,0,43,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedX,shadedX6,5B,no,2.85,0.69,22,0,3,2,86,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedX,shadedX7,5B,yes,2.75,0.87,22.3,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedX,shadedX8,5B,yes,3.3,0.79,22.7,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0
shaded,shadedX,shadedX9,5B,no,2.67,0.58,22.1,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedA,sun_exposedA1,0B,no,3.82,0.9,22.8,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedA,sun_exposedA2,0B,no,2.75,0.69,22.4,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0
sun_exposed,sun_exposedA,sun_exposedA3,0B,no,3.6,0.99,22.2,0,2,16,0,0,0,7,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedA,sun_exposedA4,0B,no,3.71,0.87,23.3,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedA,sun_exposedA5,0B,no,3.87,0.78,24.3,0,2,3,0,0,0,4,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedA,sun_exposedA6,0B,no,3.64,1.35,24.5,0,2,4,0,0,0,5,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedA,sun_exposedA7,0B,no,2.87,1.08,23.5,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0
sun_exposed,sun_exposedA,sun_exposedA8,0B,no,4.27,1.3,25.2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedA,sun_exposedA9,0B,no,3.44,1.17,25.6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedB,sun_exposedB1,0B,no,3.35,1.09,22.8,0,2,7,0,0,2,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedB,sun_exposedB2,0B,no,3.87,1.04,22,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0
sun_exposed,sun_exposedB,sun_exposedB3,0B,no,3.75,1.11,23.3,0,2,20,2,0,0,3,0,0,0,0,0,0,0,1
sun_exposed,sun_exposedB,sun_exposedB4,0B,no,4.52,1.31,24.2,0,3,3,1,0,0,10,0,0,0,0,1,0,0,0
sun_exposed,sun_exposedB,sun_exposedB5,0B,no,3.04,0.97,22.7,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedB,sun_exposedB6,0B,no,4.11,0.9,24.8,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedB,sun_exposedB7,0B,no,3,0.86,22.7,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedB,sun_exposedB8,0B,no,3.7,1.15,23.3,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0
sun_exposed,sun_exposedB,sun_exposedB9,0B,no,3.22,0.75,21.6,0,1,5,0,0,0,4,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedC,sun_exposedC1,0B,no,3.95,1.49,25.2,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0
sun_exposed,sun_exposedC,sun_exposedC2,0B,no,3.86,1.39,25.1,0,3,4,0,0,1,1,0,0,0,1,0,0,0,1
sun_exposed,sun_exposedC,sun_exposedC3,0B,no,3.94,1.03,23.6,0,2,0,0,0,0,4,0,0,0,2,0,0,0,0
sun_exposed,sun_exposedC,sun_exposedC4,0B,no,2.34,0.71,21.2,0,1,3,0,0,0,0,3,0,0,0,0,0,0,0
sun_exposed,sun_exposedC,sun_exposedC5,0B,no,3.35,1.06,21.6,1,3,14,0,0,8,86,3,0,0,3,2,0,0,0
sun_exposed,sun_exposedC,sun_exposedC7,0B,no,3.4,1.18,24.9,0,2,5,0,0,0,9,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedC,sun_exposedC8,0B,no,3.24,1.07,22.9,0,1,10,0,0,1,3,0,0,0,0,0,0,0,1
sun_exposed,sun_exposedC,sun_exposedC9,0B,no,1.77,0.59,21.3,0,2,9,0,0,0,0,4,0,1,0,2,0,0,4
sun_exposed,sun_exposedD,sun_exposedD1,0B,no,3.52,0.87,22,0,3,12,0,0,0,0,0,0,3,2,4,0,0,0
sun_exposed,sun_exposedD,sun_exposedD2,0B,no,2.74,0.86,20.4,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedD,sun_exposedD3,0B,no,2.71,0.76,22.3,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedD,sun_exposedD4,3B,no,3.56,1.24,22.7,0,2,4,6,0,0,0,0,0,0,1,0,0,0,0
sun_exposed,sun_exposedD,sun_exposedD5,3B,no,4.96,1.75,26.1,0,3,13,19,0,0,5,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedD,sun_exposedD6,3B,no,4.37,1.11,24.9,0,2,1,4,0,0,5,0,0,1,0,0,0,0,0
sun_exposed,sun_exposedD,sun_exposedD7,3B,yes,2.71,0.92,23.1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedD,sun_exposedD8,3B,no,3.91,1.21,24,0,3,0,2,0,0,5,0,0,0,0,0,0,0,1
sun_exposed,sun_exposedD,sun_exposedD9,3B,no,4.25,1.55,25.4,0,3,1,9,0,0,9,0,1,0,1,1,0,0,12
sun_exposed,sun_exposedE,sun_exposedE1,3B,no,4.55,1.26,24.6,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedE,sun_exposedE2,3B,no,4.25,1.43,23.1,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedE,sun_exposedE3,3B,no,3.47,0.98,22.5,0,2,1,4,0,0,0,0,0,0,0,0,0,0,10
sun_exposed,sun_exposedE,sun_exposedE4,3B,no,3.73,1.04,23.9,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedE,sun_exposedE5,3B,no,3.19,0.92,23.1,0,3,0,1,0,0,4,0,0,0,1,0,0,0,0
sun_exposed,sun_exposedE,sun_exposedE6,3B,no,3.63,1.1,24.7,0,1,20,51,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedE,sun_exposedE7,3B,yes,3.44,1.14,23.9,0,3,0,2,0,1,9,0,0,1,0,0,0,0,0
sun_exposed,sun_exposedE,sun_exposedE8,3B,no,2.52,0.72,23.4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1
sun_exposed,sun_exposedE,sun_exposedE9,3B,yes,3.48,0.84,22.5,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedH,sun_exposedH1,3B,no,4.69,1.22,23,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedH,sun_exposedH2,3B,no,4.54,1.24,24.6,0,2,10,13,0,0,0,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedH,sun_exposedH3,3B,no,3.15,0.94,22.1,0,2,0,0,0,0,2,0,0,1,0,1,0,0,0
sun_exposed,sun_exposedH,sun_exposedH4,3B,no,2.73,0.88,22.6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
sun_exposed,sun_exposedH,sun_exposedH5,3B,yes,3.1,1.02,24.5,0,2,0,1,0,0,3,0,0,0,0,1,0,0,0
sun_exposed,sun_exposedH,sun_exposedH6,3B,yes,2.96,1.11,24,0,3,0,1,0,1,6,0,0,0,0,0,0,0,0
sun_exposed,sun_exposedH,sun_exposedH7,3B,yes,4.79,1.17,25,0,2,2,1,0,0,3,0,0,0,0,1,0,0,14
sun_exposed,sun_exposedH,sun_exposedH8,3B,no,4.4,1.4,25.3,0,1,0,6,0,0,8,0,0,1,0,0,0,0,0
sun_exposed,sun_exposedH,sun_exposedH9,3B,no,3.93,1.11,24.9,0,3,5,7,0,0,0,0,0,0,0,0,0,0,1
sun_exposed,sun_exposedJ,sun_exposedJ1,3B,no,3.96,1.18,23.6,0,2,2,2,0,0,3,0,0,0,0,1,0,0,0
sun_exposed,sun_exposedJ,sun_exposedJ2,3B,no,3.81,1.09,23.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
